id	name	slug	domain	contact_email	linkedin_url
4604	ToolListed	toollisted	toollisted.com	support@toollisted.com	
4606	Story Generator Tools	story-generator-tools	story-generator.net	support@story-generator.net	
4608	Synapse Social	synapse-social	withsynapse.app	support@withsynapse.app	
4609	Buzzspot	buzzspot	buzzspot.co	support@buzzspot.co	
4610	Lutains	lutains	lutains.com	aymeric@lutains.com	
4611	Axdox	axdox	axdox.in	info@axdox.in	https://www.linkedin.com/company/axdox-in/
4612	Vesperforge	vesperforge	vesperforge.app	vesperforge@atomicmail.io	
4613	InviteTools	invitetools	invitetools.com	support@invitetools.com	https://www.linkedin.com/company/invitetools/
4614	Techfusion Gear	techfusion-gear	techfusiongear.com	hello@techfusiongear.com	https://www.linkedin.com/company/techfusion-gear/
4615	FreeTV Garden	freetv-garden	freetvgarden.com	contact.freetool@gmail.com	https://www.linkedin.com/company/afreetools/
4616	LiveFaceSwap AI	livefaceswap-ai	livefaceswap.ai	support@livefaceswap.ai	
4617	JobLog Filter	joblog-filter	myjoblog.app	support@myjoblog.app	
4618	ViralSnap AI	viralsnap-ai	getviralsnap.com	support@getviralsnap.com	
4621	Brainstorm	brainstorm	getbrainstorm.online	founder@getbrainstorm.online	
4628	WiserStaff	wiserstaff	wiserstaff.com	contact@wiserstaff.com	https://www.linkedin.com/company/wiserstaff/
4629	StartPosting	startposting	startposting.app	hello@startposting.app	
4630	OutageDeck	outagedeck	outagedeck.com	hello@outagedeck.com	https://www.linkedin.com/company/outagedeck/
4632	WriteTested	writetested	writetested.com	marcus@writetested.com	
4637	ViralJury	viraljury	viraljury.net	support@viraljury.net	https://www.linkedin.com/in/viraljury-net/
4646	EzUptime	ezuptime	ezuptime.com	support@ezuptime.com	
4649	Senzia	senzia	senzia.cc	support@senzia.cc	
4652	SalaryHow	salaryhow	salaryhow.com	contact@salaryhow.com	https://www.linkedin.com/company/salarycalculator/
4653	ERPLight	erplight	erplight.ch	support@erplight.ch	https://www.linkedin.com/company/erplight/
4657	Slatemark	slatemark	slatemark.ai	support@slatemark.ai	
4658	JapanPR.me	japanprme	japanpr.me	hello@japanpr.me	
4661	BPSee	bpsee	bpsee.app	hi@bpsee.app	
4663	The Brand OS by MilanAura	the-brand-os-by-milanaura	milanaura.app	info@milanaura.app	https://www.linkedin.com/in/junaid-awan-tuk/
4666	ChillMatch — Find company for tonight	chillmatch-find-company-for-tonight	chillmatch.app	info@chillmatch.app	
4668	CreatorOS	creatoros	creatoroslaunch.site	creator.os.communications@gmail.com	https://www.linkedin.com/company/creatoros/
4670	Orderrave	orderrave	orderrave.ng	hello@orderrave.ng	https://www.linkedin.com/company/orderrave/
4671	snad ERP	snad-erp	snad.io	info@snad.io	
4672	MakerPrintTools	makerprinttools	makerprinttools.com	canghun13@naver.com	
4673	Tabletop Maker Lab	tabletop-maker-lab	tabletopmakerlab.com	canghun13@naver.com	
4677	Sendexa	sendexa	sendexa.co	hello@sendexa.co	https://www.linkedin.com/company/sendexa/
4679	SorWiki	sorwiki	sorwiki.com	nguyenvandung00086@gmail.com	
4680	QuoteChime	quotechime	quotechime.pages.dev	support@access.jirt.net	
4681	in-boxed	in-boxed	in-boxed.com	support@in-boxed.com	
4684	Rootx	rootx	rootx.aurixofficial.in	aurix.texh@gmail.com	
4685	ListingLoom	listingloom	listingloom.app	hello@listingloom.app	
4686	Chat Control EU	chat-control-eu	chat-control.eu	hello@chat-control.eu	
4687	Cvida	cvida	cvida.io	contact@cvida.io	
4688	G-TESTER	g-tester	ai-studio.alfa-can.com	info@alfa-can.com	
4689	Fiveday Design	fiveday-design	fivedaydesign.com	lisa@fivedaydesign.com	
4690	Circle Routes	circle-routes	circleroutes.ae	support@circleroutes.ae	
4692	Zenith	zenith	zenith-books.com	info@zenith-books.com	https://www.linkedin.com/in/jureprincic/
4694	paperfx	paperfx	paperfx.art	support@paperfx.art	
4695	WellVersed App	wellversed-app	getwellversed.app	hello@getwellversed.app	https://www.linkedin.com/company/wellversed-app/
4698	Evelope	evelope	evelope.ca	support@evelope.ca	
4700	GG Frame	gg-frame	ggframe.games	contact@ggframe.games	
4703	Harker	harker	getharker.com	support@getharker.com	https://www.linkedin.com/in/charlesgreen/
4704	ChatNotr	chatnotr	chatnotr.com	support@chatnotr.com	
4706	Chartsy	chartsy	chartsy.app	support@chartsy.app	https://www.linkedin.com/company/chartsy/
4707	Chrome Goldmine	chrome-goldmine	chromegoldmine.com	support@chromegoldmine.com	https://www.linkedin.com/company/chromegoldmine/
4708	Whisper Web	whisper-web	whisperweb.tech	support@whisperweb.tech	
4709	TestOptim AI	testoptim-ai	testoptim.com	hi@testoptim.com	https://www.linkedin.com/company/testoptimai/
4710	Meeting Copilot	meeting-copilot	meeting.agentwave.in	founder@agentwave.in	
4712	Brain Dump ADHD Notes	brain-dump-adhd-notes	getbraindump.com	leoni.francesco98@gmail.com	https://www.linkedin.com/company/brain-dump-app/
4713	ArchOne AI	archone-ai	archoneai.com	support@archoneai.com	
4714	XForge Os	xforge-os	xforge.framer.website	support@gmail.com	
4717	ApplyMate	applymate	apply-mate.com	contact.applymate@gmail.com	
4719	Dibs.	dibs	dibs.games	static.robot.studio@gmail.com	
4720	FehrWatch	fehrwatch	fehralgorithmus.de	kontakt@fehralgorithmus.de	
4722	Format Factory	format-factory	formatfactory.io	support@formatfactory.io	
4726	Proximity Lock: Smart AutoLock	proximity-lock-smart-autolock	tqtuan1201.github.io	truongquangtuanit@gmail.com	https://www.linkedin.com/in/thales-truong/
4728	The Marketing Vault	the-marketing-vault	marketerprompts.com	mail@beknownonline.com	https://www.linkedin.com/company/beknownllc/
4730	Pulsar: Space Rewards	pulsar-space-rewards	pulsarminer.space	mine.pulsar@proton.me	
4731	Forge Convert	forge-convert	forgeconvert.com	contact@forgeconvert.com	
4733	Erioun	erioun	erioun.com	support@erioun.com	
4738	dailygrid.app	dailygridapp	dailygrid.app	support@dailygrid.app	
4739	Soulthread	soulthread	soulthread.talk	soulinker@soulthread.talk	
4743	FrontendPrep	frontendprep	frontendprep.io	contact@frontendprep.io	https://www.linkedin.com/in/arvind-m-ab2a71148/
4745	Mosaci	mosaci	mosacistudio.com	support@mosacistudio.com	
4748	Journey Spectrum	journey-spectrum	journey-spectrum.com	atanasov.zdr@gmail.com	
4749	PRISM — Learn System Design	prism-learn-system-design	prismhld.com	hello@prismhld.com	
4750	StockPortfolio.pro	stockportfoliopro	stockportfolio.pro	support@stockportfolio.pro	
