listing_id,company_name,email,listing_status,contact_email_status,claim_state,outreach_emailed_at_utc,follow_up_sent_at_utc,follow_up2_sent_at_utc,send_state,contact_email_source
"3","Resumost","support@resumost.com","active","found","unclaimed","2026-08-24 00:13:32.296","","","sent_marker","https://resumost.com"
"4","Any2URL","support@any2url.com","active","found","unclaimed","2026-08-12 14:44:44.499","","","sent_marker",""
"7","Needle","julian@needle.so","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-14 13:39:00.544","","sent_marker","https://needle.so"
"12","Shipybara","hello@shipybara.com","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-26 17:27:53.883","","sent_marker","https://shipybara.com/about"
"13","ProductLaunchify","productlaunchify@gmail.com","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-26 17:28:03.424","","sent_marker","https://productlaunchify.com"
"15","MEDIAPRONET","support@mediapronet.com","active","found","unclaimed","2026-08-24 00:13:32.296","","","sent_marker","https://mediapronet.com/about"
"16","TechTitans.Cloud","info@techtitans.cloud","active","found","unclaimed","2026-08-24 03:06:59.722","2026-08-26 17:28:09.665","","sent_marker","manual_research"
"17","Autovirality","support@autovirality.com","active","found","unclaimed","2026-08-12 14:44:43.972","","","sent_marker",""
"36","ByteRivet","support@byterivet.com","active","found","unclaimed","2026-08-12 14:44:43.229","","","sent_marker","https://byterivet.com/robots.txt"
"37","Customer Feedback","info@cfeedback.com","active","found","unclaimed","2026-08-12 14:44:42.557","2026-08-24 08:00:00.503","","sent_marker",""
"38","Feedspace","support@feedspace.io","active","found","unclaimed","2026-08-24 00:13:32.296","","","sent_marker","https://www.feedspace.io/"
"40","Crevas AI","hi@crevas.ai","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-26 17:28:04.645","","sent_marker","https://crevas.ai"
"44","Circle Crop Image","support@circlecropimage.dev","active","excluded","claimed","","","","prepared_not_marked","manual_research"
"45","DeepSeek Video","support@deepseekvideo.org","active","found","unclaimed","2026-08-24 00:13:32.296","","","sent_marker","https://deepseekvideo.org/"
"46","Contract Aura","praneetbrar7@gmail.com","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-26 17:28:01.760","","sent_marker","https://contractaura.com"
"47","Cyberbara","support@cyberbara.com","active","found","unclaimed","2026-08-24 00:13:32.296","","","sent_marker","https://cyberbara.com?utm_source=directory"
"48","10015 Image Tool","fatih.telis@gmail.com","active","found","unclaimed","2026-08-24 03:07:00.249","2026-08-26 17:28:10.076","","sent_marker","manual_research"
"51","Status Page","hey@statuspage.me","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-26 17:27:58.073","","sent_marker","https://statuspage.me/contact"
"54","SeaGames","haiji@seagames.com","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-26 17:27:58.480","","sent_marker","https://www.seagames.com/"
"57","Verified Tools","contact@verifiedtools.info","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-26 17:27:47.887","","sent_marker","https://www.verifiedtools.info/about"
"59","MicroHunts","product@focusapps.app","active","found","unclaimed","2026-08-14 13:51:50.531","2026-08-24 08:00:02.854","","sent_marker","https://microhunts.com/legal/privacy"
"60","AI Browser","hello@aibrowser.surf","active","found","unclaimed","2099-01-01 00:00:00.000","","","blocked_or_reserved_not_sent","manual_research"
"61","Qwen3 TTS","support@qwen3tts.com","active","found","unclaimed","2026-08-24 00:13:32.296","","","sent_marker","https://qwen3tts.com"
"65","GPT Image Prompts","support@gptimageprompts.com","active","found","unclaimed","2026-08-24 00:13:32.296","","","sent_marker","https://gptimageprompts.com/"
"69","HEIC to PDF","press@wps.com","active","found","unclaimed","2026-08-14 13:39:14.137","","","sent_marker","https://www.wps.com/contact"
"70","Stencil AI","support@stencilai.io","active","found","unclaimed","2026-08-24 00:13:32.296","","","sent_marker","http://stencilai.io/"
"71","ApparenceKit","support@apparence.io","active","excluded","unclaimed","","","","prepared_not_marked","manual_research"
"72","AccessAudit","info@accessaudit.org","active","found","unclaimed","2099-01-01 00:00:00.000","","","blocked_or_reserved_not_sent","manual_research"
"73","FilePulse","support@filepulse.io","active","found","unclaimed","2026-08-24 00:13:32.296","","","sent_marker","https://www.filepulse.io/"
"75","Font Finder by What Font Is","alex@whatfontis.com","active","found","unclaimed","2026-08-24 03:07:00.656","2026-08-26 17:28:10.569","","sent_marker","manual_research"
"76","Sweep Weasel","slimeandspin@gmail.com","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-14 13:39:00.133","","sent_marker","https://play.google.com/store/apps/details?id=com.dieselweasels.sweep"
"77","ATS Checker","support@atschecker.app","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-14 13:38:59.730","","sent_marker","https://atschecker.app"
"78","LuminaAudio","harshdeepsinghdhilllon@gmail.com","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-26 17:28:00.521","","sent_marker","https://www.luminaaudio.com/contact"
"79","MCP Playground Online","hello@mcpplaygroundonline.com","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-14 13:38:59.316","","sent_marker","https://mcpplaygroundonline.com"
"80","Folify","hello@folify.me","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-26 17:28:06.315","","sent_marker","https://folify.me"
"82","AdeptDev","support@adeptdev.io","active","excluded","unclaimed","","","","prepared_not_marked","manual_research"
"83","Mirr","qkrrnjsqkr12@gmail.com","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-26 17:28:06.719","","sent_marker","https://mirra.my/privacy"
"87","Vocova","contact@vocova.app","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-26 17:27:49.711","","sent_marker","https://vocova.app/contact"
"88","moldledger","support@moldledger.com","active","found","unclaimed","2026-08-24 00:13:32.296","","","sent_marker","https://moldledger.com/"
"89","Workfreak","support@workfreak.me","active","excluded","unclaimed","","","","prepared_not_marked","manual_research"
"92","seedance 3.0","support@seedance3ai.app","active","found","unclaimed","2026-08-24 00:13:32.296","","","sent_marker","https://www.seedance3ai.app/privacy-policy"
"93","Shadcn UI Kit","hello@tobybelhome.com","active","found","unclaimed","2026-08-14 13:51:51.401","2026-08-24 08:00:03.365","","sent_marker","https://shadcnuikit.com/"
"94","Notify Me","tesic@notify-me.rs","active","found","unclaimed","2026-08-26 17:21:34.497","","","sent_marker","manual_research"
"95","AO3dle","support@ao3dle.com","active","found","unclaimed","2026-08-24 00:13:32.296","","","sent_marker","https://ao3dle.com/"
"96","wan2-5.com","support@wan2-5.com","active","found","unclaimed","2099-01-01 00:00:00.000","","","blocked_or_reserved_not_sent","manual_research"
"98","Remove Watermark Sora 2","support@nanophoto.ai","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-14 13:38:58.926","","sent_marker","https://nanophoto.ai/remove-watermark-sora-2"
"101","Remove text from image","support@removetextfromimage.org","active","found","unclaimed","2026-08-24 00:13:32.296","","","sent_marker","https://removetextfromimage.org/"
"102","Ai pet portrait generator","support@aipetportraitgenerator.org","active","found","unclaimed","2026-08-24 00:13:32.296","","","sent_marker","https://aipetportraitgenerator.org"
"105","InterviewAI","team.wye@gmail.com","active","found","unclaimed","2026-08-26 17:21:35.033","","","sent_marker","manual_research"
"106","Tariff Calculator","tariff_support@synnaxstudio.com","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-26 17:27:50.108","","sent_marker","https://tariff.synnaxstudio.com/"
"112","Davinci Resolve","info-usa@blackmagicdesign.com","active","found","unclaimed","2099-01-01 00:00:00.000","","","blocked_or_reserved_not_sent","manual_research"
"114","Lokuma.ai","support@lokuma.ai","active","found","unclaimed","2026-08-24 00:13:32.296","","","sent_marker","https://lokuma.ai/"
"116","NewFollowers","support@newfollowers.net","active","found","unclaimed","2026-08-24 00:13:32.296","","","sent_marker","https://www.newfollowers.net/"
"120","AuditBadger","hello@auditbadger.com","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-26 17:28:05.065","","sent_marker","https://auditbadger.com"
"121","moonies","jij@jouwzaak.nl","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-26 17:27:54.703","","sent_marker","https://moonies.app"
"122","HTMLSave","support@htmlsave.com","active","found","unclaimed","2026-08-24 00:13:32.296","","","sent_marker","https://htmlsave.com/contact"
"123","LoveTunesAI","support@lovetunesai.com","active","found","unclaimed","2026-08-24 00:13:32.296","","","sent_marker","https://lovetunesai.com/"
"135","Wantapply - AI hiring platform","support@wantapply.com","active","excluded","unclaimed","","","","prepared_not_marked","manual_research"
"138","Happyhorses AI","support@happyhorses-ai.pro","active","found","unclaimed","2026-08-24 00:13:32.296","","","sent_marker","https://happyhorses-ai.pro/"
"141","QR Menu Generator","info@qrmenugenerator.io","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-26 17:27:59.693","","sent_marker","https://qrmenugenerator.io/contact"
"142","Wan AI Platform","contact@towan.net","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-26 17:28:05.906","","sent_marker","https://towan.net/"
"144","Welkome","hello@welkome.app","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-26 17:27:43.614","","sent_marker","https://welkome.app/contact"
"145","Our Token","hello@ourtoken.ai","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-14 13:38:58.527","","sent_marker","https://ourtoken.ai/"
"147","AvenChat Gemma 4","hi@avenchat.com","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-14 13:38:58.123","","sent_marker","https://avenchat.com/"
"148","WhyDoesMySiteSuck","answer@whydoesmysitesuck.com","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-26 17:27:57.228","","sent_marker","https://whydoesmysitesuck.com/privacy"
"153","Maton","support@maton.ai","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-14 13:38:57.710","","sent_marker","https://www.maton.ai/contact"
"159","GPTIMG2 AI","support@gptimg2.ai","active","blocked","unclaimed","2026-08-24 00:13:32.296","2026-08-14 13:38:57.312","","sent_marker","https://gptimg2.ai/robots.txt"
"160","Vecteezy","hkhan@vecteezy.com","active","found","unclaimed","2099-01-01 00:00:00.000","","","blocked_or_reserved_not_sent","manual_research"
"164","CapCut","capcut.support@bytedance.com","active","found","unclaimed","2099-01-01 00:00:00.000","","","blocked_or_reserved_not_sent","manual_research"
"165","Laike AI","footer_social_contact@laike.ai","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-26 17:27:44.030","","sent_marker","https://laike.ai"
"170","BSA Calculator","giriraj.bungalow.1@gmail.com","active","found","unclaimed","2026-08-26 17:21:35.442","","","sent_marker","manual_research"
"173","AppLaunchFlow","yannick@applaunchflow.com","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-14 13:38:56.830","","sent_marker","https://applaunchflow.com/contact"
"176","NetlifyAPP","contact@netlifyapp.org","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-26 17:27:58.903","","sent_marker","https://netlifyapp.org/"
"179","Pitchlo","hello@pitchlo.com","active","found","unclaimed","2026-08-24 00:13:32.296","2026-08-14 13:38:56.396","","sent_marker","https://pitchlo.com/"
