App,Website,Email,Email status,Verification score
Harden,https://harden.run,contact@harden.run,valid,89
ArchOne AI,https://archoneai.com,support@archoneai.com,valid,90
Prinn,https://prinn.ai,support@prinn.ai,valid,91
BasePrice,https://baseprice.io,hello@baseprice.io,valid,100
WorkID.ai,https://workid.ai,support@workid.ai,valid,100
LaunchDirectories,https://launchdirectories.com,hello@launchdirectories.com,valid,100
Rec League,https://recleague.com,support@recleague.com,valid,100
Mastra Factory,https://mastra.ai,shane@mastra.ai,valid,100
Kombai,https://kombai.io,startupsanddevs@kombai.io,valid,100
Type.com,https://type.com,work@type.com,valid,100
Frigade Assist API,https://frigade.com,founders@frigade.com,valid,100
Unicorn Platform,https://unicornplatform.com,hi@unicornplatform.com,valid,100
Stoqui,https://stoqui.com.br,contato@stoqui.com.br,valid,100
Solice,https://solice.health,contact@solice.health,valid,100
Musicamania AI,https://musicamania.com.br,support@musicamania.com.br,valid,100
Noodle Seed,https://noodleseed.com,hello@noodleseed.com,valid,100
Peeta,https://peeta.ai,hello@peeta.ai,valid,88
Sumly.cy,https://sumly.cy,contact@sumly.cy,valid,89
Pronod dashcam,https://pronod.co,support@pronod.co,valid,100
Image to STL Converter,https://imagetostl.io,support@imagetostl.io,valid,100
AI Photo Enhancer & Editor,https://aragon.ai,chris@aragon.ai,valid,100
