id,created_at,subject,from,to,cc,bcc,reply_to,last_event,sent_at,scheduled_at,api_key_id,oauth_grant_id
c46939ec-7132-42c5-b78d-cc76e843aea4,2026-07-24 12:22:42.453229+00,Demo run: Search Console Weekly — score 3/10,Strategic Flow <onboarding@resend.dev>,consultantcalatorii@gmail.com,,,,opened,2026-07-24 12:22:42.584+00,,24236843-a459-40f7-87b4-5e3de9e4497a,
5ee21ae6-c9fc-42ad-95c2-5c1e2d5f67e3,2026-07-24 12:30:52.851245+00,Demo run: Semrush — score 3/10,Strategic Flow <onboarding@resend.dev>,consultantcalatorii@gmail.com,,,,opened,2026-07-24 12:30:52.985+00,,24236843-a459-40f7-87b4-5e3de9e4497a,
6260c396-9037-4119-a501-f0eecc1a32d0,2026-07-24 15:34:50.594974+00,Demo run: Semrush — score 3/10,Strategic Flow <onboarding@resend.dev>,consultantcalatorii@gmail.com,,,,opened,2026-07-24 15:34:50.738+00,,24236843-a459-40f7-87b4-5e3de9e4497a,
0c68d0eb-10b6-4d47-8ca1-84c59e970ea2,2026-07-24 15:57:32.428772+00,Demo run: Strategic Flow — score 2/10,Strategic Flow <onboarding@resend.dev>,consultantcalatorii@gmail.com,,,,opened,2026-07-24 15:57:32.567+00,,24236843-a459-40f7-87b4-5e3de9e4497a,
2cd4eac7-0370-4eac-ac73-7d20cd666c59,2026-07-24 16:10:57.252992+00,Demo run: Strategic Flow — score 6/10,Strategic Flow <onboarding@resend.dev>,consultantcalatorii@gmail.com,,,,opened,2026-07-24 16:10:57.383+00,,24236843-a459-40f7-87b4-5e3de9e4497a,
f0a40bd2-8f3c-4afb-ba9e-7d90905d083a,2026-07-24 16:13:25.737766+00,Demo run: Strategic Flow — score 3/10,Strategic Flow <onboarding@resend.dev>,consultantcalatorii@gmail.com,,,,opened,2026-07-24 16:13:25.881+00,,24236843-a459-40f7-87b4-5e3de9e4497a,
8bcb70d2-e6a3-4647-af63-a4ba3c848e33,2026-07-24 16:21:25.625856+00,Demo run: Strategic Flow — score 5/10,Strategic Flow <onboarding@resend.dev>,consultantcalatorii@gmail.com,,,,opened,2026-07-24 16:21:25.751+00,,24236843-a459-40f7-87b4-5e3de9e4497a,
c8d39b9c-f838-44eb-93d6-5b80d9521847,2026-07-24 16:26:28.316425+00,Demo run: Strategic Flow — score 3/10,Strategic Flow <onboarding@resend.dev>,consultantcalatorii@gmail.com,,,,opened,2026-07-24 16:26:28.452+00,,24236843-a459-40f7-87b4-5e3de9e4497a,
7a75499a-10a5-4a45-bbd6-b4e662202873,2026-07-24 20:43:16.76264+00,Demo run: Strategic Flow — score 4/10,Strategic Flow <onboarding@resend.dev>,consultantcalatorii@gmail.com,,,,opened,2026-07-24 20:43:16.912+00,,24236843-a459-40f7-87b4-5e3de9e4497a,
238c460e-cac7-4392-9b6d-6661752a5eda,2026-07-24 20:48:37.901999+00,Demo run: Strategic Flow — score 3/10,Strategic Flow <onboarding@resend.dev>,consultantcalatorii@gmail.com,,,,opened,2026-07-24 20:48:38.057+00,,24236843-a459-40f7-87b4-5e3de9e4497a,
09cbc886-3616-42f3-9bc0-bd3c439a50a9,2026-07-25 22:27:41.027623+00,Demo run: Strategic Flow — score 5/10,Strategic Flow <onboarding@resend.dev>,consultantcalatorii@gmail.com,,,,opened,2026-07-25 22:27:41.162+00,,24236843-a459-40f7-87b4-5e3de9e4497a,
