Aplicație,Website oficial,Email public
Mina Meeting Assistant,https://getmina.ai,
SocialEcho 2.0,https://socialecho.net,support@socialecho.net
Databox MCP,https://databox.com,hello@databox.com
Dune Keypad,https://projectmirage.ai,team@projectmirage.ai
folk,https://getfolk.app,
Typeahead,https://typeahead.ai,hello@typeahead.ai
Presentify,https://presentify.ai,hello@presentify.ai
Tabstack Web Research,https://tabstack.ai,
Trippple Club,https://trippple.club,
Open Caffeine,https://github.com/sapsaldog/open-caffeine,
Fundraisly,https://fundraisly.com,
Vokal,https://vokal.team,zhen@vokal.team
Gigacatalyst,https://gigacatalyst.com,
Co-Invest,https://coinvest.ai,
Brief,https://briefhq.ai,support@briefhq.ai
Paste MCP & AI Tools,https://pasteapp.io,
PawPause,https://miladsafarzadeh1.github.io,
Enshittifier,https://enshittifier.wells.ee,
Rodeo by TwelveLabs,https://twelvelabs.io,
choclift,https://choclift.com,
Elentaria,https://elentaria.ai,
InsForge Backend Branching,https://insforge.dev,support@insforge.dev
superlog,https://superlog.sh,
Franz 6,https://meetfranz.com,
Replicas,https://tryreplicas.com,
Hermes Desktop,https://nousresearch.com,
Spectron,,
Walkable,https://apps.apple.com/tr/app/walkable-safe-route-planner/id6762026493,
Uselink,https://uselink.app,
Town,https://town.com,
Mailwarm 2.0,https://mailwarm.com,
Astra Autonomous Pentest,https://getastra.com,help@getastra.com
Empromptu AI,https://empromptu.ai,
Google Gemma 4 12B,https://blog.google,
AppWizzy,https://appwizzy.com,
Build Club Campus,https://buildclub.ai,
Deliveryman.ai,https://deliveryman.ai,
Novus,,
TimeTuna.com,https://timetuna.com,
Koji by Brilliant,https://brilliant.org,
SellerClaw,https://sellerai.com,
Minimi,https://projectminimi.com,
Leni,https://leni.co,
Veltrix AI,https://veltrix.com,
Ideogram 4.0,https://ideogram.ai,
Agent Mode on Arena,https://arena.ai,
Nemotron 3 Ultra by NVIDIA,https://nvidia.com,
Moodloom,https://moodloom.xyz,
LocalClicky,https://github.com/dikshantrajput/LocalClicky,
Agent Browser Shield,https://github.com/pixiebrix/agent-browser-shield,
Google Search Profiles,https://profile.google.com,
Manus Shopify Connector,https://manus.im,
MAI-Image-2.5,https://microsoft.ai,
QWERTYS,https://smartkeys.so,
Gaming services by IFTTT,https://ifttt.com,
Dreambeans by Google Labs,https://labs.google,
Wave,https://wave.mxv.sh,
CabinLink,https://vishrutjha.com/cabinlink,
Job Postings API,https://bluedoor.sh,
Smmall Cloud for iOS,https://smmall.cloud,
Honen,https://honen.com,
Browse.sh,https://browse.sh,
Vaani,https://vaani.media,
Supaste,https://supaste.com,
The Virtual OS Museum,https://virtualosmuseum.org,
Tamadoggo,https://tamadoggo.com,
VC Boom,https://vcboom.com,team@vcboom.com
ZeroGPU,https://zerogpu.ai,
prostir zvuku,https://prostirzvuku.app,
Krisp Voice Translation API,https://krisp.ai,
agmsg,https://github.com/fujibee/agmsg,
Kimi Work,https://kimi.ai,
Uiverse Design,https://uiverse.io,
BooBar,https://boobar.app,
Fluido,https://figma.com/community/plugin/1643351089558193643/fluido-liquid-chrome-effects,
hora Calendar,https://horacal.app,
Publora,https://publora.com,support@publora.com
TypingMind,https://typingmind.com,support@typingmind.com
Spotlight by Backplanes,https://backplanes.com,hello@backplanes.com
Screen Charm,https://screencharm.com,
Gemini 3.5 Live Translate,,
iArt.ai,https://www.iart.ai,
Incorruptible by Eric Ries,https://incorruptible.co,
Napkin Math,https://napkinmath.ai,
Monako Glass,https://monako.ai,
BlenderHunt,https://blenderhunt.com,
Bond,https://bondapp.io,
Asmi AI,https://asmiai.com,
Respan Gateway,https://respan.ai,
Terminal Mode by Even Realities,https://evenrealities.com,
Journey Now,https://journey.now,ciao@journey.now
Slashspace AI,https://slashspace.ai,
CrustRecruiter,,
Tabstack Structured Extraction,https://tabstack.ai,
SlimSnap,https://slimsnap.ai,
Juno (AI health companion),https://junocompanion.com,
Firma.dev,https://firma.dev,
Qursor,https://qursor.xyz,
Pond,,
HyperSleep,https://hypersleep.app,
KOSH Money,https://koshmoney.com,
Bob's CLI,https://npmjs.com/package/@bobsworkshop/cli,
Meet Warren 3.0,https://meetwarren.co.uk,
ShellMate,https://shellmate.net,
Insta360 Luna Ultra,,
Slack Data Agent,,
Vercel Drop,https://vercel.com,
Kimi K2.7 Code,https://kimi.ai,
Prometheus by Firecrawl,https://firecrawl.dev,
CakewordAI,,
NomNak,https://nomnak.com,
Slashy,https://slashy.com,
Taste Lab,https://tastelab.xyz,
Permute 4.0,https://software.charliemonroe.net/permute,
Athenic 2.0,https://athenic.com,
Cloudback for Linear,https://cloudback.it,
Novu Connect,https://novu.co,
Wobo - AI Job Search,https://wobo.ai,
AutoEdit,https://autoeditai.net,
Kickbacks.ai,https://kickbacks.ai,
PandaProbe Cloud,https://pandaprobe.com,
Notra Image Generation,https://usenotra.com,
MockPilot,https://github.com/ykadosh/mock-pilot,
Sulsaly,https://sulsaly.com,
AEVS,,
Reignat,https://reignat.com,
Goldfish,https://goldfish.sh,
Invoko,https://tryclico.com,
MakersClaw,https://makersclaw.com,
PeakRoutine,https://peakroutinehealth.com,
Edgee Turbo Models,,
Zoona AI,,
GitHits beta 0.9,https://githits.com,
Stride,https://stride.llc,
MindReader v1,https://themindreader.ai,
Dirac,https://dirac.com,
Framer 3.0,https://framer.com,
Swytchcode CLI,https://swytchcode.com,
Daemons by Charlie Labs,https://charlielabs.ai,
Quartz,https://quartzmail.ai,
Android 17,,
Dopami,https://do-pami.com,
Tapfree for Chrome,,
Deep Work Plan,https://deepworkplan.com,
Dualora,,
memi,,
Upstream,https://upstream.do,
Honestly,https://usehonestly.com,
Jesse,https://agentjesse.ai,
Tabstack Dev Tools,https://tabstack.ai,
Elvin,,
Viktor for Microsoft Teams,https://ref.viktor.com,
Agentic videos by D-ID,https://d-id.com,
VoiceOS,https://voiceos.com,
Juno (voice-to-text),https://usejuno.co,
Retool,https://retool.com,
Claude Code Artifacts,https://claude.com,
Zernio WhatsApp API,,
Midjourney Scanner,https://midjourney.com,
Firecrawl Research Index,https://firecrawl.dev,
API to MCP,https://apitomcp.ai,
frontpage.sh,,
Unreal Engine 5.8,https://unrealengine.com,
just f***ing send it,,
Ask Ad Manager by Google Ads,,
Blazly Backlinker,,
WorkClaw,,
Reframe,,
Slackbot’s MCP Client,,
Mellum by JetBrains,https://jetbrains.com,
pumaDB,,
Are you in the Weights?,,
Foyer,,
Basedash Access Controls,https://basedash.com,
Pixlie,https://pixlie.com,
ReleaseDock,https://releasedock.co,
Agent 37 Cloud,https://agentcloud.dev,
Atomic Mail Agentic,,
Grok by SpaceXAI for Word,,
Backgrind,,
oioi,,
AgentX,https://agentx.so,
Skybridge,https://skybridge.tech,
HAQQ Legal AI on Mobile,,
Alai 2.0,,
readywhen,,
Bluerails Discovery,https://bluerails.com,
OpenArt Director,https://openart.ai,support@openart.ai
Cotypist,https://cotypist.app,
Latitude,https://latitude.so,
Thumbmagic,,
Tencent EdgeOne Makers,https://pages.edgeone.ai,
Propane,https://usepropane.ai,
Crewdle AI,,
Stripe.Directory,,
Customer Relationship Agents by Clarify,,
BrowserAct,https://browseract.com,support@browseract.com
Oxlo.ai,https://oxcode.ai,
Zaro,https://zaro.ai,
Figma Motion,https://figma.com,
Brain² by ClickUp,https://clickup.com,
Agent Arena,https://arena42.ai,
Gemini Spark,https://gemini.google,
note.md,https://notemd.org,
Atlas,,
Sleek Analytics,https://getsleek.io,
Folio AI,,
QApilot's CoWork,,
Nada,,
RetroMac,,
Cloud World Model,,
discode.ai,https://discode.ai,
GetCompress,,
Persona.js,,
Dotient,,
Lyto,,
Spira for Product Hunt Makers,https://spira.ai,
Agent Mode by Receiptor AI,https://receiptor.ai,
ClinePass,,
VisibAI,,
PMB,,
Cursor for iOS,,
Skills Marketplace by Databox,https://databox.com,hello@databox.com
Foresight by Lightning Rod,https://lightningrod.ai,
Akiflow,,
Supafax,https://supafax.com,
Acti,https://openacti.com,
Humalike,https://humalike.ai,
Tabstack Browser Automation,,
Claude Sonnet 5,https://anthropic.com,
Adam CAD Copilot,,
MailAdept by mailwarm,,
Modelence Mobile Builder,,
Sequence Agentic,,
Fuser Apps,,
Mark by Airtop,,
Context.dev,https://context.dev,
Fypro,https://fypro.ai,
Needle,,
PixFit,,
Macro,,
Solaris,,
Banger Mail,,
PieterPost MCP,,
scritty,,
Sidedoor,,
Glaze by Raycast,https://glaze.app,
Goals from Loops,,
Tamamon,,
Archify,,
nxt,,
Vida,https://vida.app,
ChecklistFox,,
PhoneDeck,,
CentryAI,,
Termi Protocol,,
WorkBuddy,https://workbuddy.ai,
DocsAlot,,
Endl,,
TryCase,,
MentionDrop MCP,,
AnySearch,https://anysearch.com,support@anysearch.com
Typeahead 2.0,https://typeahead.ai,
Octolens,,
Sunrise,,
AirKaren,,
Stanley Studio,,
Edgee Claude Code Compressor V2,,
Astryx,,
CodeMote,,
Nixmac,,
Badge,https://getbadge.app,
Katalyst,https://joinkatalyst.com,
Scribble Network,,
Dupely,,
Mira,,
AI Emaily,,
Ellis,,
Social Fetch,,
Ogment AI,,
LongCat-2.0,,
ExploreYC,https://exploreyc.com,
IvyForms,,
Willow Frontier Pro,,
Bono AI,,
Link Preview API,,
LemonLime,,
Orbit for Mac,,
PopTask for Apple,,
agents-cli,,
Orus,,
Auriko,https://auriko.ai,
Timbal AI,,
Perfai Security,,
Toyo,,
Lispr,,
Opper AI,,
