Data,Rank zilnic,Produs,Voturi,Product Hunt zilnic,Căutare Product Hunt,Website,Email public,Status email,Sursă rank,Sursă email
2026-06-01,1,Mina Meeting Assistant,479,https://www.producthunt.com/leaderboard/daily/2026/6/1,https://www.producthunt.com/search?q=Mina+Meeting+Assistant,https://getmina.ai,,Nu am găsit un email public verificat,Hunted.Space + Product Hunt,
2026-06-01,2,SocialEcho 2.0,378,https://www.producthunt.com/leaderboard/daily/2026/6/1,https://www.producthunt.com/search?q=SocialEcho+2.0,https://socialecho.net,marketing@socialecho.net,Email public găsit și verificat în sursa indicată,Hunted.Space + Product Hunt,https://www.socialecho.net/
2026-06-01,3,Databox MCP,343,https://www.producthunt.com/leaderboard/daily/2026/6/1,https://www.producthunt.com/search?q=Databox+MCP,https://databox.com,,Nu am găsit un email public verificat,Hunted.Space + Product Hunt,
2026-06-01,4,Dune Keypad,328,https://www.producthunt.com/leaderboard/daily/2026/6/1,https://www.producthunt.com/search?q=Dune+Keypad,https://projectmirage.ai,,Nu am găsit un email public verificat,Hunted.Space + Product Hunt,
2026-06-01,5,folk,288,https://www.producthunt.com/leaderboard/daily/2026/6/1,https://www.producthunt.com/search?q=folk,,,Nu am găsit un email public verificat,Hunted.Space + Product Hunt,
2026-06-01,6,Typeahead,319,https://www.producthunt.com/leaderboard/daily/2026/6/1,https://www.producthunt.com/search?q=Typeahead,,,Nu am găsit un email public verificat,Product Hunt daily archive,
2026-06-01,7,Presentify,227,https://www.producthunt.com/leaderboard/daily/2026/6/1,https://www.producthunt.com/search?q=Presentify,,,Nu am găsit un email public verificat,Product Hunt daily archive,
2026-06-01,8,Tabstack Web Research,168,https://www.producthunt.com/leaderboard/daily/2026/6/1,https://www.producthunt.com/search?q=Tabstack+Web+Research,,,Nu am găsit un email public verificat,Product Hunt daily archive,
2026-06-01,9,Trippple Club,171,https://www.producthunt.com/leaderboard/daily/2026/6/1,https://www.producthunt.com/search?q=Trippple+Club,,,Nu am găsit un email public verificat,Product Hunt daily archive,
2026-06-01,10,Open Caffeine,162,https://www.producthunt.com/leaderboard/daily/2026/6/1,https://www.producthunt.com/search?q=Open+Caffeine,,,Nu am găsit un email public verificat,Product Hunt daily archive,
2026-06-02,1,Fundraisly,1027,https://www.producthunt.com/leaderboard/daily/2026/6/2,https://www.producthunt.com/search?q=Fundraisly,https://fundraisly.com,,Nu am găsit un email public verificat,Hunted.Space + Product Hunt,
2026-06-02,2,Vokal,456,https://www.producthunt.com/leaderboard/daily/2026/6/2,https://www.producthunt.com/search?q=Vokal,https://vokal.team,zhen@vokal.team,Email public găsit și verificat în sursa indicată,Hunted.Space + Product Hunt,https://vokal.team/about
2026-06-02,3,Gigacatalyst,341,https://www.producthunt.com/leaderboard/daily/2026/6/2,https://www.producthunt.com/search?q=Gigacatalyst,,,Nu am găsit un email public verificat,Hunted.Space + Product Hunt,
2026-06-02,4,Co-Invest,273,https://www.producthunt.com/leaderboard/daily/2026/6/2,https://www.producthunt.com/search?q=Co-Invest,,,Nu am găsit un email public verificat,Hunted.Space + Product Hunt,
2026-06-02,5,Brief,245,https://www.producthunt.com/leaderboard/daily/2026/6/2,https://www.producthunt.com/search?q=Brief,,,Nu am găsit un email public verificat,Hunted.Space + Product Hunt,
2026-06-02,6,Paste MCP & AI Tools,219,https://www.producthunt.com/leaderboard/daily/2026/6/2,https://www.producthunt.com/search?q=Paste+MCP+%26+AI+Tools,,,Nu am găsit un email public verificat,Product Hunt daily archive,
2026-06-02,7,PawPause,147,https://www.producthunt.com/leaderboard/daily/2026/6/2,https://www.producthunt.com/search?q=PawPause,,,Nu am găsit un email public verificat,Product Hunt daily archive,
2026-06-02,8,Enshittifier,156,https://www.producthunt.com/leaderboard/daily/2026/6/2,https://www.producthunt.com/search?q=Enshittifier,,,Nu am găsit un email public verificat,Product Hunt daily archive,
2026-06-02,9,Rodeo by TwelveLabs,140,https://www.producthunt.com/leaderboard/daily/2026/6/2,https://www.producthunt.com/search?q=Rodeo+by+TwelveLabs,,,Nu am găsit un email public verificat,Product Hunt daily archive,
2026-06-02,10,choclift,134,https://www.producthunt.com/leaderboard/daily/2026/6/2,https://www.producthunt.com/search?q=choclift,,,Nu am găsit un email public verificat,Product Hunt daily archive,
2026-06-03,1,Elentaria,580,https://www.producthunt.com/leaderboard/daily/2026/6/3,https://www.producthunt.com/search?q=Elentaria,https://elentaria.ai,,Nu am găsit un email public verificat,Hunted.Space + Product Hunt,
2026-06-03,2,InsForge Backend Branching,525,https://www.producthunt.com/leaderboard/daily/2026/6/3,https://www.producthunt.com/search?q=InsForge+Backend+Branching,https://insforge.dev,,Nu am găsit un email public verificat,Hunted.Space + Product Hunt,
2026-06-03,3,superlog,431,https://www.producthunt.com/leaderboard/daily/2026/6/3,https://www.producthunt.com/search?q=superlog,https://superlog.sh,,Nu am găsit un email public verificat,Hunted.Space + Product Hunt,
2026-06-03,4,Franz 6,241,https://www.producthunt.com/leaderboard/daily/2026/6/3,https://www.producthunt.com/search?q=Franz+6,,,Nu am găsit un email public verificat,Hunted.Space + Product Hunt,
2026-06-03,5,Replicas,221,https://www.producthunt.com/leaderboard/daily/2026/6/3,https://www.producthunt.com/search?q=Replicas,,,Nu am găsit un email public verificat,Hunted.Space + Product Hunt,
2026-06-03,6,Hermes Desktop,216,https://www.producthunt.com/leaderboard/daily/2026/6/3,https://www.producthunt.com/search?q=Hermes+Desktop,,,Nu am găsit un email public verificat,Product Hunt daily archive,
2026-06-03,7,Spectron,172,https://www.producthunt.com/leaderboard/daily/2026/6/3,https://www.producthunt.com/search?q=Spectron,,,Nu am găsit un email public verificat,Product Hunt daily archive,
2026-06-03,8,Walkable,165,https://www.producthunt.com/leaderboard/daily/2026/6/3,https://www.producthunt.com/search?q=Walkable,,,Nu am găsit un email public verificat,Product Hunt daily archive,
2026-06-03,9,Uselink,151,https://www.producthunt.com/leaderboard/daily/2026/6/3,https://www.producthunt.com/search?q=Uselink,,,Nu am găsit un email public verificat,Product Hunt daily archive,
2026-06-03,10,Town,148,https://www.producthunt.com/leaderboard/daily/2026/6/3,https://www.producthunt.com/search?q=Town,,,Nu am găsit un email public verificat,Product Hunt daily archive,
2026-06-04,1,Mailwarm 2.0,571,https://www.producthunt.com/leaderboard/daily/2026/6/4,https://www.producthunt.com/search?q=Mailwarm+2.0,https://mailwarm.com,,Nu am găsit un email public verificat,Hunted.Space + Product Hunt,
2026-06-04,2,Astra Autonomous Pentest,400,https://www.producthunt.com/leaderboard/daily/2026/6/4,https://www.producthunt.com/search?q=Astra+Autonomous+Pentest,https://getastra.com,help@getastra.com,Email public găsit și verificat în sursa indicată,Hunted.Space + Product Hunt,https://www.getastra.com/llm-info
