App,Public email,Application link,Published
ElevateAI,elevate.official.ai@gmail.com,https://www.elev-ai.com/,2026-09-07
GearChain,support@gearchain.io,https://gearchain.io/,2026-09-07
FindTourGuide,info@findtourguide.com,https://www.findtourguide.com/,2026-09-07
Zugrow,hello@zugrow.com,https://zugrow.com/,2026-09-07
LumiMusic,support@lumimusic.ai,https://lumimusic.ai/,2026-09-07
UniMusic AI,support@unimusic.ai,https://unimusic.ai/,2026-09-07
Travel Riders,support@travel-riders.com,https://travel-riders.com/,2026-09-07
Lapsewise,hello@lapsewise.com,https://www.lapsewise.com/,2026-09-07
PokeRoll,hello@pokeroll.app,https://pokeroll.app/,2026-09-07
Bloop,yoodong8@gmail.com,https://bloooooop.com/,2026-09-08
PR Lens by Coldtea.ai,hello@coldtea.ai,https://www.coldtea.ai/,2026-09-08
Tucky,contact@tucky.io,https://tucky.io/,2026-09-08
Nina by Antalpha,ai@antalpha.com,https://www.antalpha.com/,2026-09-08
Clipnote,contact@clipnote.app,https://clipnote.app/,2026-09-08
Routines by Databox,help@databox.com,https://databox.com/,2026-09-08
Airuncode,support@airuncode.com,https://airuncode.com/,2026-09-08
Assist,support@assistapp.dev,https://assistapp.dev/,2026-09-08
Remind,chris@remind.ing,https://remind.ing/,2026-09-08
Scriptly,contact@scriptly.video,https://scriptly.video/,2026-09-08
Dograh,founders@dograh.com,https://www.dograh.com/,2026-09-08
Kilo Code for JetBrains,support@kilo.ai,https://kilo.ai/,2026-09-08
DeepSeek Harness Plugin Directory,support@deepseekharnessai.com,https://deepseekharnessai.com/,2026-09-08
AISearchFlow,info@aisearchflow.com,https://aisearchflow.com/,2026-09-08
CallAtlas,care@callatlas.io,https://callatlas.io/,2026-09-08
PDFops,hello@pdfops.dev,https://pdfops.dev/,2026-09-08
Moodly,feedback.moodly@gmail.com,https://moodlyextension.com/,2026-09-07
ExtractPics,bipul281c@gmail.com,https://extractpics.com/,2026-09-07
The Calcolo IVA,info@thecalcoloiva.com,https://thecalcoloiva.com/,2026-09-07
GhostWriter,victor.petersen2@gmail.com,https://www.justghostwriter.com/,2026-09-07
Pulsecima Pulse,support@pulsecima.com,https://pulse.pulsecima.com/,2026-09-07
Any Dividend Calculator,hello@anydividendcalculator.com,https://anydividendcalculator.com/,2026-09-07
Speaker Splitter,speakersplit@support.manager.ai,https://speakersplit.io/,2026-09-07
LED Scroller AI,support.ledscroll@geniustoolslabs.com,https://play.google.com/store/apps/details?id=oops.ledscroller,2026-09-07
BlueSearch,contact@bluesearch.ai,https://bluesearch.ai/,2026-09-07
FSG AI - Grok Imagine Free Generator,support@freesoragenerator.com,https://freesoragenerator.com/,2026-09-07
SODAX SDK,fez@sodax.com,https://www.sodax.com/partners/sodax-sdk,2026-09-08
VidRush AI,support@vidrush-ai.com,https://vidrush-ai.com/,2026-09-08
ArkSwift,service@arkswift.com,https://www.arkswift.com/,2026-09-07
Carrier Pidge,support@carrierpidge.app,https://carrierpidge.app/,2026-09-07
ConnectPay,dev-support@connectpay.com,https://connectpay.com/,2026-09-07
DogeSMS,support@dogesms.com,https://www.dogesms.com/,2026-09-07
Doomers,team@doomers.ai,https://www.doomers.ai/,2026-09-07
Once Song,support@oncesong.com,https://oncesong.com/,2026-09-07
Pomodoro Flow,public.berryfy@gmail.com,https://play.google.com/store/apps/details?id=com.berryfy.pomodoro_flow,2026-09-07
Qevra,support@fivetoclose.cloud,https://qevra.app/,2026-09-07
Widais,info@widais.com,https://widais.com/,2026-09-07
Zapp Chess,dev@zappchess.com,https://zappchess.com/,2026-09-07
